rep,n,d,p,sq,vol,area,dist,step
50000,3,1,0.01,13538,477,2818,22.0,477
50000,3,1,0.02,27031,1154,6666,115.31370849898475,1146
50000,3,1,0.03,40745,1724,9780,249.84474917977712,1707
50000,3,1,0.04,54312,2619,14584,462.71261999128933,2567
50000,3,1,0.05,67366,3545,19290,769.7068403995474,3430
50000,3,1,0.060000000000000005,80924,4252,22866,1006.1344601855152,4091
50000,3,1,0.07,94286,5394,28496,1399.1284876639609,5101
50000,3,1,0.08,107867,6529,34040,1743.442242189105,6071
50000,3,1,0.09,121435,7920,40450,2287.478087112725,7277
50000,3,1,0.09999999999999999,134969,9540,48154,2826.2138747618887,8620
50000,3,1,0.10999999999999999,148237,10924,54400,3363.9562690579314,9757
50000,3,1,0.11999999999999998,161710,12774,62666,3976.842688779226,11155
50000,3,1,0.12999999999999998,175050,14381,70108,4485.075899040366,12409
50000,3,1,0.13999999999999999,188883,16898,80896,5331.393577292051,14191
50000,3,1,0.15,202457,18666,88682,5829.466574886673,15422
50000,3,1,0.16,216599,22086,103464,6923.317906533584,17817
50000,3,1,0.17,229267,24397,113364,7583.0984214144955,19387
50000,3,1,0.18000000000000002,242292,27219,125058,8456.08644288183,21191
50000,3,1,0.19000000000000003,256519,30908,140622,9412.481862979956,23562
50000,3,1,0.20000000000000004,270615,34508,155150,10333.431512816458,25594
50000,3,1,0.21000000000000005,283027,36897,164982,10873.746749883752,26920
50000,3,1,0.22000000000000006,297412,42758,188950,12399.141765987208,30388
50000,3,1,0.23000000000000007,310523,47009,205796,13264.116984646611,32612
50000,3,1,0.24000000000000007,323689,50540,220174,14083.719396702769,34585
50000,3,1,0.25000000000000006,336971,56406,243348,15378.804927885929,37613
50000,3,1,0.26000000000000006,350028,61652,264176,16410.547267292386,40217
50000,3,1,0.2700000000000001,363873,65912,279710,17185.584515242168,42167
50000,3,1,0.2800000000000001,378629,73637,310464,18607.509291685674,45877
50000,3,1,0.2900000000000001,390910,78578,328674,19264.263628206412,47614
50000,3,1,0.3000000000000001,404165,85367,355024,20493.817389750853,50658
50000,3,1,0.3100000000000001,418556,91937,379058,21482.19338830411,53321
50000,3,1,0.3200000000000001,431791,100320,411364,22838.132097689406,57019
50000,3,1,0.3300000000000001,446007,108991,443204,24017.886311932678,60201
50000,3,1,0.34000000000000014,458053,117799,476208,25244.41750319,63693
50000,3,1,0.35000000000000014,472505,125171,502916,26178.905045316835,66301
50000,3,1,0.36000000000000015,485724,136007,542730,27574.283307441136,70304
50000,3,1,0.37000000000000016,499640,144931,574966,28635.619877662375,73356
50000,3,1,0.38000000000000017,512377,153366,605236,29481.580648713276,75914
50000,3,1,0.3900000000000002,525742,163666,641484,30563.768596122707,79167
50000,3,1,0.4000000000000002,539273,174143,677364,31611.80635870064,82209
50000,3,1,0.4100000000000002,552331,185580,717968,32775.972657748935,85699
50000,3,1,0.4200000000000002,567278,197645,759156,33916.784377368895,89304
