rep,n,d,p,nc,lc,sq
50000,2,1,0,50000,100000,0
50000,2,1,0.01,49987,99974,1979
50000,2,1,0.02,49915,99830,4034
50000,2,1,0.03,49832,99664,6084
50000,2,1,0.04,49683,99366,7964
50000,2,1,0.05,49550,99100,9759
50000,2,1,0.060000000000000005,49310,98620,12276
50000,2,1,0.07,49102,98204,14077
50000,2,1,0.08,48833,97666,16051
50000,2,1,0.09,48506,97012,18209
50000,2,1,0.09999999999999999,48242,96484,19764
50000,2,1,0.10999999999999999,47790,95580,22049
50000,2,1,0.11999999999999998,47434,94868,23918
50000,2,1,0.12999999999999998,47017,94034,25969
50000,2,1,0.13999999999999999,46625,93250,28146
50000,2,1,0.15,46127,92254,30013
50000,2,1,0.16,45819,91638,31702
50000,2,1,0.17,45159,90318,33857
50000,2,1,0.18000000000000002,44730,89460,35937
50000,2,1,0.19000000000000003,44189,88378,37666
50000,2,1,0.20000000000000004,43474,86948,40334
50000,2,1,0.21000000000000005,42973,85946,41885
50000,2,1,0.22000000000000006,42412,84824,43878
50000,2,1,0.23000000000000007,41825,83650,45666
50000,2,1,0.24000000000000007,41055,82110,48031
50000,2,1,0.25000000000000006,40301,80602,50066
50000,2,1,0.26000000000000006,39879,79758,51729
50000,2,1,0.2700000000000001,39228,78456,53736
50000,2,1,0.2800000000000001,38433,76866,56014
50000,2,1,0.2900000000000001,37862,75724,58003
50000,2,1,0.3000000000000001,36750,73500,60442
50000,2,1,0.3100000000000001,36095,72190,62331
50000,2,1,0.3200000000000001,35670,71340,63852
50000,2,1,0.3300000000000001,34771,69542,65586
50000,2,1,0.34000000000000014,34191,68382,67746
50000,2,1,0.35000000000000014,33344,66688,70051
50000,2,1,0.36000000000000015,32618,65236,71984
50000,2,1,0.37000000000000016,31961,63922,73812
50000,2,1,0.38000000000000017,30803,61606,76531
50000,2,1,0.3900000000000002,30457,60914,77658
50000,2,1,0.4000000000000002,29399,58798,80180
50000,2,1,0.4100000000000002,28817,57634,81703
50000,2,1,0.4200000000000002,27982,55964,83932
50000,2,1,0.4300000000000002,27266,54532,86045
50000,2,1,0.4400000000000002,26528,53056,87919
50000,2,1,0.45000000000000023,25818,51636,89869
50000,2,1,0.46000000000000024,24934,49868,91902
50000,2,1,0.47000000000000025,24165,48330,93906
50000,2,1,0.48000000000000026,23280,46560,96121
50000,2,1,0.49000000000000027,22631,45262,98042
50000,2,1,0.5000000000000002,21879,43758,99757
50000,2,1,0.5100000000000002,21056,42112,102222
50000,2,1,0.5200000000000002,20233,40466,104210
50000,2,1,0.5300000000000002,19610,39220,106104
50000,2,1,0.5400000000000003,18934,37868,108236
50000,2,1,0.5500000000000003,18035,36070,110343
50000,2,1,0.5600000000000003,17426,34852,111760
50000,2,1,0.5700000000000003,16784,33568,113759
50000,2,1,0.5800000000000003,16206,32412,115751
50000,2,1,0.5900000000000003,15407,30814,118040
50000,2,1,0.6000000000000003,14684,29368,120064
50000,2,1,0.6100000000000003,13899,27798,122013
50000,2,1,0.6200000000000003,13386,26772,124304
50000,2,1,0.6300000000000003,12613,25226,126110
50000,2,1,0.6400000000000003,12218,24436,127737
50000,2,1,0.6500000000000004,11280,22560,130568
50000,2,1,0.6600000000000004,10692,21384,132320
50000,2,1,0.6700000000000004,10233,20466,134454
50000,2,1,0.6800000000000004,9685,19370,136204
50000,2,1,0.6900000000000004,9089,18178,138274
50000,2,1,0.7000000000000004,8688,17376,139721
50000,2,1,0.7100000000000004,8101,16202,141864
50000,2,1,0.7200000000000004,7547,15094,143906
50000,2,1,0.7300000000000004,7135,14270,145875
50000,2,1,0.7400000000000004,6573,13146,147907
50000,2,1,0.7500000000000004,5954,11908,150203
50000,2,1,0.7600000000000005,5566,11132,151937
50000,2,1,0.7700000000000005,5108,10216,153988
50000,2,1,0.7800000000000005,4719,9438,156054
50000,2,1,0.7900000000000005,4310,8620,158027
50000,2,1,0.8000000000000005,3837,7674,160225
50000,2,1,0.8100000000000005,3552,7104,161923
50000,2,1,0.8200000000000005,3244,6488,163902
50000,2,1,0.8300000000000005,2841,5682,166074
50000,2,1,0.8400000000000005,2503,5006,168097
50000,2,1,0.8500000000000005,2185,4370,170159
50000,2,1,0.8600000000000005,1996,3992,171804
50000,2,1,0.8700000000000006,1648,3296,174153
50000,2,1,0.8800000000000006,1474,2948,176059
50000,2,1,0.8900000000000006,1236,2472,178007
50000,2,1,0.9000000000000006,988,1976,179926
50000,2,1,0.9100000000000006,863,1726,181851
50000,2,1,0.9200000000000006,654,1308,183999
50000,2,1,0.9300000000000006,524,1048,185750
50000,2,1,0.9400000000000006,367,734,187951
50000,2,1,0.9500000000000006,261,522,189918
50000,2,1,0.9600000000000006,176,352,192008
50000,2,1,0.9700000000000006,84,168,193903
50000,2,1,0.9800000000000006,43,86,196032
50000,2,1,0.9900000000000007,9,18,198033
50000,2,1,1,0,0,200000
50000,2,2,0,50000,200000,0
50000,2,2,0.01,50000,200000,87
50000,2,2,0.02,50000,200000,323
50000,2,2,0.03,50000,200000,735
50000,2,2,0.04,50000,200000,1238
50000,2,2,0.05,50000,200000,1973
50000,2,2,0.060000000000000005,50000,200000,2930
50000,2,2,0.07,50000,200000,3764
50000,2,2,0.08,50000,200000,5110
50000,2,2,0.09,49999,199996,6411
50000,2,2,0.09999999999999999,49999,199996,8145
50000,2,2,0.10999999999999999,49995,199980,9562
50000,2,2,0.11999999999999998,49994,199976,11394
50000,2,2,0.12999999999999998,49986,199944,13624
50000,2,2,0.13999999999999999,49976,199904,15560
50000,2,2,0.15,49970,199880,17890
50000,2,2,0.16,49947,199788,20546
50000,2,2,0.17,49935,199740,23061
50000,2,2,0.18000000000000002,49916,199664,25923
50000,2,2,0.19000000000000003,49863,199452,29004
50000,2,2,0.20000000000000004,49848,199392,32132
50000,2,2,0.21000000000000005,49811,199244,34978
50000,2,2,0.22000000000000006,49735,198940,38327
