rep,n,d,p,nc,lc,sq
50000,2,1,0,50000,100000,0
50000,2,1,0.01,49980,99960,1993
50000,2,1,0.02,49922,99844,3995
50000,2,1,0.03,49813,99626,5931
50000,2,1,0.04,49703,99406,7983
50000,2,1,0.05,49523,99046,10020
50000,2,1,0.060000000000000005,49313,98626,11879
50000,2,1,0.07,49085,98170,13953
50000,2,1,0.08,48835,97670,15850
50000,2,1,0.09,48494,96988,17946
50000,2,1,0.09999999999999999,48191,96382,19849
50000,2,1,0.10999999999999999,47825,95650,22126
50000,2,1,0.11999999999999998,47468,94936,23908
50000,2,1,0.12999999999999998,47048,94096,26099
50000,2,1,0.13999999999999999,46702,93404,27775
50000,2,1,0.15,46213,92426,29783
50000,2,1,0.16,45654,91308,32196
50000,2,1,0.17,45276,90552,33652
50000,2,1,0.18000000000000002,44612,89224,36155
50000,2,1,0.19000000000000003,44065,88130,37963
50000,2,1,0.20000000000000004,43557,87114,39750
50000,2,1,0.21000000000000005,42973,85946,41909
50000,2,1,0.22000000000000006,42427,84854,43889
50000,2,1,0.23000000000000007,41746,83492,45803
50000,2,1,0.24000000000000007,41101,82202,48232
50000,2,1,0.25000000000000006,40561,81122,49685
50000,2,1,0.26000000000000006,39732,79464,52215
50000,2,1,0.2700000000000001,38981,77962,54296
50000,2,1,0.2800000000000001,38248,76496,56416
50000,2,1,0.2900000000000001,37652,75304,57992
50000,2,1,0.3000000000000001,36958,73916,60148
50000,2,1,0.3100000000000001,36254,72508,62209
50000,2,1,0.3200000000000001,35660,71320,63777
50000,2,1,0.3300000000000001,34905,69810,65895
50000,2,1,0.34000000000000014,33996,67992,68262
50000,2,1,0.35000000000000014,33375,66750,69937
50000,2,1,0.36000000000000015,32622,65244,71948
50000,2,1,0.37000000000000016,31700,63400,74071
50000,2,1,0.38000000000000017,31052,62104,75938
50000,2,1,0.3900000000000002,30581,61162,77521
50000,2,1,0.4000000000000002,29431,58862,80314
50000,2,1,0.4100000000000002,28770,57540,82182
50000,2,1,0.4200000000000002,28077,56154,83758
50000,2,1,0.4300000000000002,27294,54588,85953
50000,2,1,0.4400000000000002,26486,52972,87824
50000,2,1,0.45000000000000023,25766,51532,90074
50000,2,1,0.46000000000000024,24634,49268,92350
50000,2,1,0.47000000000000025,24213,48426,93820
50000,2,1,0.48000000000000026,23490,46980,95773
50000,2,1,0.49000000000000027,22552,45104,98193
50000,2,1,0.5000000000000002,21923,43846,99943
50000,2,1,0.5100000000000002,21086,42172,102165
50000,2,1,0.5200000000000002,20496,40992,103873
50000,2,1,0.5300000000000002,19594,39188,105748
50000,2,1,0.5400000000000003,18904,37808,107814
50000,2,1,0.5500000000000003,18128,36256,110032
50000,2,1,0.5600000000000003,17356,34712,112027
50000,2,1,0.5700000000000003,17009,34018,113386
50000,2,1,0.5800000000000003,15929,31858,116187
50000,2,1,0.5900000000000003,15604,31208,117470
50000,2,1,0.6000000000000003,14836,29672,119969
50000,2,1,0.6100000000000003,14025,28050,122166
50000,2,1,0.6200000000000003,13291,26582,124135
50000,2,1,0.6300000000000003,12657,25314,125989
50000,2,1,0.6400000000000003,11989,23978,128080
50000,2,1,0.6500000000000004,11380,22760,130154
50000,2,1,0.6600000000000004,10871,21742,131971
50000,2,1,0.6700000000000004,10394,20788,133689
50000,2,1,0.6800000000000004,9587,19174,136076
50000,2,1,0.6900000000000004,9126,18252,138023
50000,2,1,0.7000000000000004,8671,17342,139918
50000,2,1,0.7100000000000004,8184,16368,141561
50000,2,1,0.7200000000000004,7526,15052,143913
50000,2,1,0.7300000000000004,6982,13964,145793
50000,2,1,0.7400000000000004,6451,12902,148249
50000,2,1,0.7500000000000004,6132,12264,149471
50000,2,1,0.7600000000000005,5565,11130,151846
50000,2,1,0.7700000000000005,5024,10048,154220
50000,2,1,0.7800000000000005,4836,9672,155947
50000,2,1,0.7900000000000005,4278,8556,158093
50000,2,1,0.8000000000000005,3891,7782,160219
50000,2,1,0.8100000000000005,3532,7064,161924
50000,2,1,0.8200000000000005,3203,6406,164040
50000,2,1,0.8300000000000005,2948,5896,166008
50000,2,1,0.8400000000000005,2426,4852,168351
50000,2,1,0.8500000000000005,2256,4512,169726
50000,2,1,0.8600000000000005,1942,3884,172224
50000,2,1,0.8700000000000006,1652,3304,174069
50000,2,1,0.8800000000000006,1451,2902,176079
50000,2,1,0.8900000000000006,1128,2256,178220
50000,2,1,0.9000000000000006,947,1894,180020
50000,2,1,0.9100000000000006,840,1680,181883
50000,2,1,0.9200000000000006,579,1158,184096
50000,2,1,0.9300000000000006,473,946,185883
50000,2,1,0.9400000000000006,388,776,188080
50000,2,1,0.9500000000000006,262,524,189922
50000,2,1,0.9600000000000006,155,310,192081
50000,2,1,0.9700000000000006,85,170,193935
50000,2,1,0.9800000000000006,42,84,196060
50000,2,1,0.9900000000000007,11,22,197982
50000,2,1,1,0,0,200000
50000,2,2,0,50000,200000,0
50000,2,2,0.01,50000,200000,85
50000,2,2,0.02,50000,200000,336
50000,2,2,0.03,50000,200000,725
50000,2,2,0.04,50000,200000,1196
50000,2,2,0.05,50000,200000,1977
50000,2,2,0.060000000000000005,50000,200000,2906
50000,2,2,0.07,50000,200000,3913
50000,2,2,0.08,50000,200000,5119
50000,2,2,0.09,49999,199996,6539
50000,2,2,0.09999999999999999,49998,199993,7979
50000,2,2,0.10999999999999999,49996,199985,9690
50000,2,2,0.11999999999999998,49992,199970,11361
50000,2,2,0.12999999999999998,49998,200001,13460
50000,2,2,0.13999999999999999,49986,199951,15895
50000,2,2,0.15,49986,199956,18244
50000,2,2,0.16,49982,199948,20690
50000,2,2,0.17,49960,199870,22818
50000,2,2,0.18000000000000002,49943,199812,25872
50000,2,2,0.19000000000000003,49930,199780,28699
50000,2,2,0.20000000000000004,49912,199713,32078
50000,2,2,0.21000000000000005,49880,199610,35546
50000,2,2,0.22000000000000006,49856,199534,38434
50000,2,2,0.23000000000000007,49785,199257,42574
50000,2,2,0.24000000000000007,49719,199032,45872
50000,2,2,0.25000000000000006,49675,198901,49796
50000,2,2,0.26000000000000006,49583,198563,54156
50000,2,2,0.2700000000000001,49521,198384,58444
50000,2,2,0.2800000000000001,49426,198054,62646
50000,2,2,0.2900000000000001,49325,197698,66623
50000,2,2,0.3000000000000001,49194,197256,71343
50000,2,2,0.3100000000000001,48995,196514,76937
50000,2,2,0.3200000000000001,48790,195799,82192
50000,2,2,0.3300000000000001,48551,194954,87618
50000,2,2,0.34000000000000014,48346,194207,92757
50000,2,2,0.35000000000000014,48143,193434,97821
50000,2,2,0.36000000000000015,47846,192434,103755
50000,2,2,0.37000000000000016,47471,191074,110229
50000,2,2,0.38000000000000017,47082,189523,115487
50000,2,2,0.3900000000000002,46688,188136,122420
50000,2,2,0.4000000000000002,46374,186950,128021
50000,2,2,0.4100000000000002,45961,185446,134282
50000,2,2,0.4200000000000002,45299,183038,141231
50000,2,2,0.4300000000000002,44890,181521,147494
50000,2,2,0.4400000000000002,44272,179089,154156
50000,2,2,0.45000000000000023,43717,177031,162209
50000,2,2,0.46000000000000024,43027,174487,169606
50000,2,2,0.47000000000000025,42344,171869,176631
50000,2,2,0.48000000000000026,41531,168715,183918
50000,2,2,0.49000000000000027,40686,165278,191716
50000,2,2,0.5000000000000002,40050,163009,199610
50000,2,2,0.5100000000000002,38961,158756,209116
50000,2,2,0.5200000000000002,38280,156105,216885
50000,2,2,0.5300000000000002,37169,151667,224770
50000,2,2,0.5400000000000003,36263,148154,234053
50000,2,2,0.5500000000000003,35354,144584,241508
50000,2,2,0.5600000000000003,34023,139187,251483
50000,2,2,0.5700000000000003,33261,136192,259176
50000,2,2,0.5800000000000003,32130,131691,268867
50000,2,2,0.5900000000000003,30997,127214,277519
50000,2,2,0.6000000000000003,29715,122042,288560
50000,2,2,0.6100000000000003,28557,117436,297733
50000,2,2,0.6200000000000003,27416,112884,307069
50000,2,2,0.6300000000000003,26139,107609,318075
50000,2,2,0.6400000000000003,25047,103180,326633
50000,2,2,0.6500000000000004,23696,97775,338837
50000,2,2,0.6600000000000004,22416,92648,350370
50000,2,2,0.6700000000000004,21307,88010,360058
50000,2,2,0.6800000000000004,20220,83575,370122
50000,2,2,0.6900000000000004,18984,78325,380414
50000,2,2,0.7000000000000004,17719,73325,392283
50000,2,2,0.7100000000000004,16672,68922,402653
50000,2,2,0.7200000000000004,15484,64101,414658
50000,2,2,0.7300000000000004,14299,59147,427080
50000,2,2,0.7400000000000004,12951,53725,440120
50000,2,2,0.7500000000000004,12079,50072,449753
50000,2,2,0.7600000000000005,11236,46546,461053
50000,2,2,0.7700000000000005,10249,42449,475201
50000,2,2,0.7800000000000005,9317,38587,486109
50000,2,2,0.7900000000000005,8400,34820,499493
50000,2,2,0.8000000000000005,7512,31129,511072
