rep,n,d,p,nc,lc,sq
50000,2,1,0,50000,100000,0
50000,2,1,0.01,49986,99972,1976
50000,2,1,0.02,49895,99790,4008
50000,2,1,0.03,49823,99646,6058
50000,2,1,0.04,49697,99394,7985
50000,2,1,0.05,49489,98978,10066
50000,2,1,0.060000000000000005,49362,98724,11907
50000,2,1,0.07,49097,98194,13999
50000,2,1,0.08,48809,97618,15961
50000,2,1,0.09,48532,97064,18067
50000,2,1,0.09999999999999999,48199,96398,20082
50000,2,1,0.10999999999999999,47842,95684,21947
50000,2,1,0.11999999999999998,47415,94830,24171
50000,2,1,0.12999999999999998,46997,93994,26168
50000,2,1,0.13999999999999999,46688,93376,27890
50000,2,1,0.15,46144,92288,30070
50000,2,1,0.16,45602,91204,32098
50000,2,1,0.17,45207,90414,33859
50000,2,1,0.18000000000000002,44804,89608,35707
50000,2,1,0.19000000000000003,44036,88072,37915
50000,2,1,0.20000000000000004,43530,87060,39780
50000,2,1,0.21000000000000005,42835,85670,42110
50000,2,1,0.22000000000000006,42453,84906,43802
50000,2,1,0.23000000000000007,41766,83532,45887
50000,2,1,0.24000000000000007,40986,81972,48213
50000,2,1,0.25000000000000006,40345,80690,50179
50000,2,1,0.26000000000000006,39844,79688,51904
50000,2,1,0.2700000000000001,39156,78312,53850
50000,2,1,0.2800000000000001,38425,76850,55899
50000,2,1,0.2900000000000001,37598,75196,57972
50000,2,1,0.3000000000000001,36865,73730,60467
50000,2,1,0.3100000000000001,36301,72602,61829
50000,2,1,0.3200000000000001,35532,71064,64163
50000,2,1,0.3300000000000001,34812,69624,65890
50000,2,1,0.34000000000000014,33978,67956,68115
50000,2,1,0.35000000000000014,33239,66478,70039
50000,2,1,0.36000000000000015,32582,65164,72088
50000,2,1,0.37000000000000016,31824,63648,74126
50000,2,1,0.38000000000000017,31153,62306,75961
50000,2,1,0.3900000000000002,30349,60698,78300
50000,2,1,0.4000000000000002,29785,59570,79776
50000,2,1,0.4100000000000002,28713,57426,82135
50000,2,1,0.4200000000000002,27992,55984,83670
50000,2,1,0.4300000000000002,27062,54124,86022
50000,2,1,0.4400000000000002,26319,52638,88256
50000,2,1,0.45000000000000023,25758,51516,89789
50000,2,1,0.46000000000000024,24710,49420,91987
50000,2,1,0.47000000000000025,24244,48488,93972
50000,2,1,0.48000000000000026,23248,46496,96202
50000,2,1,0.49000000000000027,22579,45158,97908
50000,2,1,0.5000000000000002,21756,43512,99896
50000,2,1,0.5100000000000002,21171,42342,101732
50000,2,1,0.5200000000000002,20198,40396,104347
