rep,n,d,p,nc,lc,sq
50000,2,1,0,50000,100000,0
50000,2,1,0.01,50000,100000,3968
50000,2,1,0.02,50000,100000,8074
50000,2,1,0.03,49998,99996,11961
50000,2,1,0.04,49999,99998,16126
50000,2,1,0.05,49996,99992,20032
50000,2,1,0.060000000000000005,49992,99984,23706
50000,2,1,0.07,49978,99956,28037
50000,2,1,0.08,49980,99960,32234
50000,2,1,0.09,49961,99922,36152
50000,2,1,0.09999999999999999,49936,99872,40027
50000,2,1,0.10999999999999999,49913,99826,44127
50000,2,1,0.11999999999999998,49864,99728,48049
50000,2,1,0.12999999999999998,49825,99650,52045
50000,2,1,0.13999999999999999,49754,99508,55719
50000,2,1,0.15,49692,99384,59993
50000,2,1,0.16,49619,99238,63944
50000,2,1,0.17,49551,99102,68036
50000,2,1,0.18000000000000002,49434,98868,71827
50000,2,1,0.19000000000000003,49282,98564,75729
50000,2,1,0.20000000000000004,49179,98358,79924
50000,2,1,0.21000000000000005,48953,97906,84313
50000,2,1,0.22000000000000006,48850,97700,87509
50000,2,1,0.23000000000000007,48626,97252,91872
50000,2,1,0.24000000000000007,48371,96742,96162
50000,2,1,0.25000000000000006,48150,96300,99931
50000,2,1,0.26000000000000006,47939,95878,103769
50000,2,1,0.2700000000000001,47608,95216,108120
50000,2,1,0.2800000000000001,47264,94528,112241
50000,2,1,0.2900000000000001,46966,93932,115907
50000,2,1,0.3000000000000001,46528,93056,120489
50000,2,1,0.3100000000000001,46209,92418,123659
50000,2,1,0.3200000000000001,45738,91476,127760
50000,2,1,0.3300000000000001,45365,90730,132112
50000,2,1,0.34000000000000014,44909,89818,136114
50000,2,1,0.35000000000000014,44385,88770,140436
50000,2,1,0.36000000000000015,44088,88176,143485
50000,2,1,0.37000000000000016,43362,86724,148118
50000,2,1,0.38000000000000017,42769,85538,152366
50000,2,1,0.3900000000000002,42170,84340,156134
50000,2,1,0.4000000000000002,41583,83166,160416
50000,2,1,0.4100000000000002,40961,81922,164058
50000,2,1,0.4200000000000002,40250,80500,168311
50000,2,1,0.4300000000000002,39507,79014,172215
50000,2,1,0.4400000000000002,38835,77670,176412
50000,2,1,0.45000000000000023,38347,76694,179272
50000,2,1,0.46000000000000024,37349,74698,184440
50000,2,1,0.47000000000000025,36677,73354,187570
50000,2,1,0.48000000000000026,35862,71724,192286
50000,2,1,0.49000000000000027,35069,70138,196131
50000,2,1,0.5000000000000002,34193,68386,199859
50000,2,1,0.5100000000000002,33357,66714,203913
50000,2,1,0.5200000000000002,32482,64964,208018
50000,2,1,0.5300000000000002,31511,63022,211766
50000,2,1,0.5400000000000003,30468,60936,216159
50000,2,1,0.5500000000000003,29933,59866,219964
50000,2,1,0.5600000000000003,28980,57960,224190
50000,2,1,0.5700000000000003,27772,55544,228470
50000,2,1,0.5800000000000003,27109,54218,231674
50000,2,1,0.5900000000000003,26086,52172,235496
50000,2,1,0.6000000000000003,25051,50102,240024
50000,2,1,0.6100000000000003,24310,48620,243809
50000,2,1,0.6200000000000003,23395,46790,247827
50000,2,1,0.6300000000000003,22194,44388,252429
50000,2,1,0.6400000000000003,21237,42474,255992
50000,2,1,0.6500000000000004,20488,40976,259647
50000,2,1,0.6600000000000004,19396,38792,263923
50000,2,1,0.6700000000000004,18492,36984,268358
50000,2,1,0.6800000000000004,17562,35124,271956
50000,2,1,0.6900000000000004,16675,33350,275801
50000,2,1,0.7000000000000004,15837,31674,279957
50000,2,1,0.7100000000000004,14526,29052,284231
50000,2,1,0.7200000000000004,13953,27906,288112
50000,2,1,0.7300000000000004,13027,26054,291994
50000,2,1,0.7400000000000004,12278,24556,296278
50000,2,1,0.7500000000000004,11383,22766,300291
50000,2,1,0.7600000000000005,10636,21272,304381
50000,2,1,0.7700000000000005,9931,19862,307494
50000,2,1,0.7800000000000005,8881,17762,312453
50000,2,1,0.7900000000000005,8299,16598,315801
50000,2,1,0.8000000000000005,7561,15122,319799
50000,2,1,0.8100000000000005,6901,13802,323730
50000,2,1,0.8200000000000005,6043,12086,328346
50000,2,1,0.8300000000000005,5538,11076,332159
50000,2,1,0.8400000000000005,4884,9768,335952
50000,2,1,0.8500000000000005,4389,8778,339934
50000,2,1,0.8600000000000005,3807,7614,343418
50000,2,1,0.8700000000000006,3266,6532,348206
50000,2,1,0.8800000000000006,2749,5498,352210
50000,2,1,0.8900000000000006,2319,4638,356121
50000,2,1,0.9000000000000006,1929,3858,360093
50000,2,1,0.9100000000000006,1674,3348,363946
50000,2,1,0.9200000000000006,1284,2568,368077
50000,2,1,0.9300000000000006,993,1986,371914
50000,2,1,0.9400000000000006,742,1484,376038
50000,2,1,0.9500000000000006,520,1040,380038
50000,2,1,0.9600000000000006,322,644,383992
50000,2,1,0.9700000000000006,173,346,387966
50000,2,1,0.9800000000000006,71,142,392203
50000,2,1,0.9900000000000007,18,36,396001
50000,2,1,1,0,0,400000
50000,2,2,0,50000,200000,0
50000,2,2,0.01,50000,200000,336
50000,2,2,0.02,50000,200000,1239
50000,2,2,0.03,50000,200000,3033
50000,2,2,0.04,50000,200000,5082
50000,2,2,0.05,50000,200000,8025
50000,2,2,0.060000000000000005,50000,200000,11341
50000,2,2,0.07,50000,200000,15458
50000,2,2,0.08,50000,200000,20609
50000,2,2,0.09,50000,200000,25723
50000,2,2,0.09999999999999999,50000,200000,31717
50000,2,2,0.10999999999999999,50000,200000,39147
50000,2,2,0.11999999999999998,50000,200000,45779
50000,2,2,0.12999999999999998,50000,200000,53923
50000,2,2,0.13999999999999999,50000,200000,62722
50000,2,2,0.15,50000,200000,71763
50000,2,2,0.16,50000,200000,80976
50000,2,2,0.17,50000,200000,92331
50000,2,2,0.18000000000000002,50000,200000,103593
50000,2,2,0.19000000000000003,50000,200000,114250
50000,2,2,0.20000000000000004,50000,200000,129248
50000,2,2,0.21000000000000005,50000,200000,141255
50000,2,2,0.22000000000000006,50000,200000,155278
50000,2,2,0.23000000000000007,50000,200000,170627
50000,2,2,0.24000000000000007,50000,200000,183700
50000,2,2,0.25000000000000006,50000,200000,199692
50000,2,2,0.26000000000000006,50000,200000,216179
50000,2,2,0.2700000000000001,50000,200000,232551
50000,2,2,0.2800000000000001,50000,200000,251738
50000,2,2,0.2900000000000001,50000,200000,268711
50000,2,2,0.3000000000000001,50000,200000,287473
50000,2,2,0.3100000000000001,49999,199996,306339
50000,2,2,0.3200000000000001,49997,199988,328080
50000,2,2,0.3300000000000001,49996,199984,349173
50000,2,2,0.34000000000000014,49999,199996,371137
50000,2,2,0.35000000000000014,49992,199968,389651
50000,2,2,0.36000000000000015,49995,199980,415675
50000,2,2,0.37000000000000016,49988,199952,438726
50000,2,2,0.38000000000000017,49978,199912,461897
50000,2,2,0.3900000000000002,49969,199876,488743
50000,2,2,0.4000000000000002,49955,199820,512120
50000,2,2,0.4100000000000002,49930,199720,538447
50000,2,2,0.4200000000000002,49917,199668,565813
50000,2,2,0.4300000000000002,49860,199440,591124
50000,2,2,0.4400000000000002,49843,199372,619741
50000,2,2,0.45000000000000023,49776,199104,649524
50000,2,2,0.46000000000000024,49727,198908,677612
50000,2,2,0.47000000000000025,49655,198620,707458
50000,2,2,0.48000000000000026,49497,197988,733091
50000,2,2,0.49000000000000027,49392,197568,769261
50000,2,2,0.5000000000000002,49239,196956,800828
50000,2,2,0.5100000000000002,49066,196264,831829
50000,2,2,0.5200000000000002,48811,195244,866858
50000,2,2,0.5300000000000002,48507,194028,899841
50000,2,2,0.5400000000000003,48251,193004,934090
50000,2,2,0.5500000000000003,47872,191488,967811
50000,2,2,0.5600000000000003,47508,190032,1005150
50000,2,2,0.5700000000000003,46979,187916,1037409
50000,2,2,0.5800000000000003,46247,184988,1076279
50000,2,2,0.5900000000000003,45745,182980,1111207
50000,2,2,0.6000000000000003,44973,179892,1152113
50000,2,2,0.6100000000000003,44079,176316,1190705
50000,2,2,0.6200000000000003,43319,173276,1228763
50000,2,2,0.6300000000000003,42238,168952,1268526
50000,2,2,0.6400000000000003,41188,164752,1308720
50000,2,2,0.6500000000000004,40056,160224,1350977
50000,2,2,0.6600000000000004,38823,155292,1397448
50000,2,2,0.6700000000000004,37442,149768,1438878
50000,2,2,0.6800000000000004,36018,144072,1482152
50000,2,2,0.6900000000000004,34715,138860,1522804
50000,2,2,0.7000000000000004,33166,132664,1567491
50000,2,2,0.7100000000000004,31453,125812,1615082
50000,2,2,0.7200000000000004,29849,119396,1660690
50000,2,2,0.7300000000000004,28173,112692,1705825
50000,2,2,0.7400000000000004,26256,105024,1753732
50000,2,2,0.7500000000000004,24853,99412,1793791
50000,2,2,0.7600000000000005,23088,92352,1848857
50000,2,2,0.7700000000000005,21145,84580,1896114
50000,2,2,0.7800000000000005,19388,77552,1950137
50000,2,2,0.7900000000000005,17641,70564,1997969
50000,2,2,0.8000000000000005,16078,64312,2049611
50000,2,2,0.8100000000000005,14405,57620,2101359
50000,2,2,0.8200000000000005,12826,51304,2150545
50000,2,2,0.8300000000000005,11280,45120,2204127
50000,2,2,0.8400000000000005,9910,39640,2258735
50000,2,2,0.8500000000000005,8429,33716,2315064
50000,2,2,0.8600000000000005,7415,29660,2363643
50000,2,2,0.8700000000000006,6187,24748,2422757
50000,2,2,0.8800000000000006,5056,20224,2482204
50000,2,2,0.8900000000000006,4312,17248,2533197
50000,2,2,0.9000000000000006,3418,13672,2591056
50000,2,2,0.9100000000000006,2721,10884,2649250
50000,2,2,0.9200000000000006,2012,8048,2706733
50000,2,2,0.9300000000000006,1458,5832,2767710
50000,2,2,0.9400000000000006,998,3992,2828405
50000,2,2,0.9500000000000006,681,2724,2886644
50000,2,2,0.9600000000000006,407,1628,2949638
50000,2,2,0.9700000000000006,183,732,3010031
50000,2,2,0.9800000000000006,90,360,3073864
50000,2,2,0.9900000000000007,23,92,3136111
50000,2,2,1,0,0,3200000
50000,2,3,0,50000,400000,0
50000,2,3,0.01,50000,400000,34
50000,2,3,0.02,50000,400000,211
50000,2,3,0.03,50000,400000,688
50000,2,3,0.04,50000,400000,1642
50000,2,3,0.05,50000,400000,3209
50000,2,3,0.060000000000000005,50000,400000,5578
50000,2,3,0.07,50000,400000,8917
50000,2,3,0.08,50000,400000,12975
50000,2,3,0.09,50000,400000,18518
50000,2,3,0.09999999999999999,50000,400000,25507
50000,2,3,0.10999999999999999,50000,400000,34060
50000,2,3,0.11999999999999998,50000,400000,44211
50000,2,3,0.12999999999999998,50000,400000,56186
50000,2,3,0.13999999999999999,50000,400000,69875
50000,2,3,0.15,50000,400000,85887
50000,2,3,0.16,50000,400000,104193
50000,2,3,0.17,50000,400000,125934
50000,2,3,0.18000000000000002,50000,400000,149576
50000,2,3,0.19000000000000003,50000,400000,176695
50000,2,3,0.20000000000000004,50000,400000,204460
50000,2,3,0.21000000000000005,50000,400000,237492
50000,2,3,0.22000000000000006,50000,400000,274396
50000,2,3,0.23000000000000007,50000,400000,310327
50000,2,3,0.24000000000000007,50000,400000,355843
50000,2,3,0.25000000000000006,50000,400000,401257
50000,2,3,0.26000000000000006,50000,400000,450652
50000,2,3,0.2700000000000001,50000,400000,504631
50000,2,3,0.2800000000000001,50000,400000,558890
50000,2,3,0.2900000000000001,50000,400000,621183
50000,2,3,0.3000000000000001,50000,400000,695925
50000,2,3,0.3100000000000001,50000,400000,762770
50000,2,3,0.3200000000000001,50000,400000,837204
50000,2,3,0.3300000000000001,50000,400000,920204
50000,2,3,0.34000000000000014,50000,400000,1006390
50000,2,3,0.35000000000000014,50000,400000,1097447
50000,2,3,0.36000000000000015,50000,400000,1198682
50000,2,3,0.37000000000000016,50000,400000,1299360
50000,2,3,0.38000000000000017,50000,400000,1404482
50000,2,3,0.3900000000000002,50000,400000,1520216
50000,2,3,0.4000000000000002,50000,400000,1637737
50000,2,3,0.4100000000000002,50000,400000,1771427
50000,2,3,0.4200000000000002,50000,400000,1897226
50000,2,3,0.4300000000000002,50000,400000,2031458
50000,2,3,0.4400000000000002,50000,400000,2175179
50000,2,3,0.45000000000000023,50000,400000,2333462
50000,2,3,0.46000000000000024,50000,400000,2497596
50000,2,3,0.47000000000000025,50000,400000,2656600
50000,2,3,0.48000000000000026,50000,400000,2833471
50000,2,3,0.49000000000000027,50000,400000,3015175
50000,2,3,0.5000000000000002,50000,400000,3197879
50000,2,3,0.5100000000000002,50000,400000,3397739
