rep,n,d,p,nc,lc,sq
50000,2,1,0.0,0,0,0
50000,2,1,0.1,1027,2054,20137
50000,2,1,0.01,9,18,1993
50000,2,1,0.02,39,78,4060
50000,2,1,0.03,98,196,6014
50000,2,1,0.04,156,312,8062
50000,2,1,0.05,249,498,9841
50000,2,1,0.060000000000000005,391,782,11963
50000,2,1,0.07,477,954,13911
50000,2,1,0.08,678,1356,15907
50000,2,1,0.09,836,1672,18042
50000,2,1,0.09999999999999999,1029,2058,19819
50000,2,1,0.10999999999999999,1244,2488,21989
50000,2,1,0.11999999999999998,1428,2856,23915
50000,2,1,0.12999999999999998,1688,3376,25924
50000,2,1,0.13999999999999999,1915,3830,27929
50000,2,1,0.15,2320,4640,30253
50000,2,1,0.16,2490,4980,31850
50000,2,1,0.17,2790,5580,34076
50000,2,1,0.18000000000000002,3179,6358,35938
50000,2,1,0.19000000000000003,3439,6878,37700
50000,2,1,0.20000000000000004,3966,7932,40023
50000,2,1,0.21000000000000005,4342,8684,41841
50000,2,1,0.22000000000000006,4663,9326,43597
50000,2,1,0.23000000000000007,5222,10444,45948
50000,2,1,0.24000000000000007,5607,11214,48197
50000,2,1,0.25000000000000006,6022,12044,49811
50000,2,1,0.26000000000000006,6699,13398,52378
50000,2,1,0.2700000000000001,7152,14304,54182
50000,2,1,0.2800000000000001,7540,15080,56122
50000,2,1,0.2900000000000001,8059,16118,58106
50000,2,1,0.3000000000000001,8566,17132,59948
50000,2,1,0.3100000000000001,9166,18332,62245
50000,2,1,0.3200000000000001,9658,19316,63821
50000,2,1,0.3300000000000001,10398,20796,65810
50000,2,1,0.34000000000000014,10894,21788,67990
50000,2,1,0.35000000000000014,11480,22960,70118
50000,2,1,0.36000000000000015,12239,24478,72255
50000,2,1,0.37000000000000016,12707,25414,73873
50000,2,1,0.38000000000000017,13435,26870,76132
50000,2,1,0.3900000000000002,14146,28292,77893
50000,2,1,0.4000000000000002,14726,29452,80090
50000,2,1,0.4100000000000002,15217,30434,81853
50000,2,1,0.4200000000000002,16081,32162,84020
50000,2,1,0.4300000000000002,16661,33322,85721
50000,2,1,0.4400000000000002,17610,35220,88286
50000,2,1,0.45000000000000023,18110,36220,89794
50000,2,1,0.46000000000000024,18997,37994,92343
50000,2,1,0.47000000000000025,19628,39256,94226
50000,2,1,0.48000000000000026,20519,41038,95993
50000,2,1,0.49000000000000027,21358,42716,98458
50000,2,1,0.5000000000000002,21919,43838,100207
50000,2,1,0.5100000000000002,22568,45136,101665
50000,2,1,0.5200000000000002,23368,46736,103937
50000,2,1,0.5300000000000002,24238,48476,105955
50000,2,1,0.5400000000000003,24766,49532,107739
50000,2,1,0.5500000000000003,25735,51470,110387
50000,2,1,0.5600000000000003,26232,52464,111723
50000,2,1,0.5700000000000003,27327,54654,114064
50000,2,1,0.5800000000000003,27953,55906,115865
50000,2,1,0.5900000000000003,28917,57834,118398
50000,2,1,0.6000000000000003,29637,59274,120006
50000,2,1,0.6100000000000003,30032,60064,121446
50000,2,1,0.6200000000000003,31085,62170,124237
50000,2,1,0.6300000000000003,31671,63342,125752
50000,2,1,0.6400000000000003,32616,65232,128024
50000,2,1,0.6500000000000004,33332,66664,129687
50000,2,1,0.6600000000000004,34052,68104,131786
50000,2,1,0.6700000000000004,34757,69514,133932
50000,2,1,0.6800000000000004,35595,71190,136046
50000,2,1,0.6900000000000004,36189,72378,137733
50000,2,1,0.7000000000000004,36980,73960,139923
50000,2,1,0.7100000000000004,37896,75792,142404
50000,2,1,0.7200000000000004,38528,77056,144001
50000,2,1,0.7300000000000004,39186,78372,145908
50000,2,1,0.7400000000000004,39643,79286,147650
50000,2,1,0.7500000000000004,40360,80720,149834
50000,2,1,0.7600000000000005,41051,82102,151959
50000,2,1,0.7700000000000005,41719,83438,154111
50000,2,1,0.7800000000000005,42262,84524,156303
50000,2,1,0.7900000000000005,43000,86000,158212
50000,2,1,0.8000000000000005,43525,87050,160182
50000,2,1,0.8100000000000005,44220,88440,162372
50000,2,1,0.8200000000000005,44537,89074,164034
50000,2,1,0.8300000000000005,45187,90374,166285
50000,2,1,0.8400000000000005,45762,91524,168162
50000,2,1,0.8500000000000005,46044,92088,170001
50000,2,1,0.8600000000000005,46563,93126,172044
50000,2,1,0.8700000000000006,47089,94178,174079
50000,2,1,0.8800000000000006,47444,94888,176024
50000,2,1,0.8900000000000006,47808,95616,177808
50000,2,1,0.9000000000000006,48122,96244,179750
50000,2,1,0.9100000000000006,48518,97036,181907
50000,2,1,0.9200000000000006,48792,97584,183892
50000,2,1,0.9300000000000006,49062,98124,186043
50000,2,1,0.9400000000000006,49310,98620,187960
50000,2,1,0.9500000000000006,49530,99060,190040
50000,2,1,0.9600000000000006,49699,99398,191998
50000,2,1,0.9700000000000006,49837,99674,194206
50000,2,1,0.9800000000000006,49924,99848,196063
50000,2,1,0.9900000000000007,49978,99956,198049
50000,2,1,1.0000000000000007,50000,100000,200000
50000,2,1,1,50000,100000,200000
50000,2,2,0.0,0,0,0
50000,2,2,0.1,0,0,8235
50000,2,2,0.2,15,62,31916
50000,2,2,0.11,1,5,9556
50000,2,2,0.12,0,0,11712
50000,2,2,0.13,1,4,13608
50000,2,2,0.14,0,0,15802
50000,2,2,0.15000000000000002,0,0,17837
50000,2,2,0.16000000000000003,7,28,20130
50000,2,2,0.17000000000000004,9,38,22907
50000,2,2,0.18000000000000005,12,50,26017
50000,2,2,0.19000000000000006,10,45,28864
50000,2,2,0.20000000000000007,13,55,31564
50000,2,2,0.21000000000000008,17,70,35515
50000,2,2,0.22000000000000008,28,121,38626
50000,2,2,0.2300000000000001,29,130,42370
50000,2,2,0.2400000000000001,57,243,46377
50000,2,2,0.2500000000000001,56,234,50431
50000,2,2,0.2600000000000001,106,453,54154
50000,2,2,0.27000000000000013,73,315,58079
50000,2,2,0.28000000000000014,123,528,62313
50000,2,2,0.29000000000000015,168,736,66665
50000,2,2,0.30000000000000016,230,996,72214
50000,2,2,0.31000000000000016,223,970,76205
50000,2,2,0.3200000000000002,316,1374,82361
50000,2,2,0.3300000000000002,378,1640,87379
50000,2,2,0.3400000000000002,462,2037,92416
50000,2,2,0.3500000000000002,556,2428,98339
50000,2,2,0.3600000000000002,628,2727,103955
50000,2,2,0.3700000000000002,764,3317,109855
50000,2,2,0.3800000000000002,857,3750,114971
50000,2,2,0.39000000000000024,981,4277,121851
50000,2,2,0.40000000000000024,1215,5304,127997
50000,2,2,0.41000000000000025,1371,6003,135157
50000,2,2,0.42000000000000026,1610,7046,141584
50000,2,2,0.43000000000000027,1841,8051,148197
50000,2,2,0.4400000000000003,2047,8965,155075
50000,2,2,0.4500000000000003,2391,10466,162205
50000,2,2,0.4600000000000003,2785,12160,169392
50000,2,2,0.4700000000000003,3022,13183,176532
50000,2,2,0.4800000000000003,3460,15104,184563
50000,2,2,0.4900000000000003,3959,17287,192238
50000,2,2,0.5000000000000003,4355,19028,200545
50000,2,2,0.5100000000000003,4843,21080,208595
50000,2,2,0.5200000000000004,5362,23324,215558
50000,2,2,0.5300000000000004,6013,26128,224717
50000,2,2,0.5400000000000004,6526,28339,233378
50000,2,2,0.5500000000000004,7325,31799,241775
50000,2,2,0.5600000000000004,7976,34627,250702
50000,2,2,0.5700000000000004,8748,37952,259045
50000,2,2,0.5800000000000004,9511,41013,268945
50000,2,2,0.5900000000000004,10559,45514,278490
50000,2,2,0.6000000000000004,11504,49500,288422
50000,2,2,0.6100000000000004,12226,52439,297240
50000,2,2,0.6200000000000004,13349,57312,307544
50000,2,2,0.6300000000000004,14460,61870,317558
50000,2,2,0.6400000000000005,15357,65616,327641
50000,2,2,0.6500000000000005,16838,71944,338739
50000,2,2,0.6600000000000005,17850,76017,347662
50000,2,2,0.6700000000000005,19096,81057,359290
50000,2,2,0.6800000000000005,20334,86154,370021
50000,2,2,0.6900000000000005,21834,92317,382021
50000,2,2,0.7000000000000005,23061,97283,392597
50000,2,2,0.7100000000000005,24354,102450,403188
