rep,n,d,p,nc,lc,sq
50000,2,1,0.0,0,0,0
50000,2,1,0.1,1946,3892,40028
50000,2,1,0.01,17,34,3976
50000,2,1,0.02,65,130,7917
50000,2,1,0.03,172,344,11894
50000,2,1,0.04,319,638,16032
50000,2,1,0.05,540,1080,20059
50000,2,1,0.060000000000000005,729,1458,24161
50000,2,1,0.07,960,1920,27928
50000,2,1,0.08,1285,2570,32357
50000,2,1,0.09,1586,3172,36210
50000,2,1,0.09999999999999999,1985,3970,40151
50000,2,1,0.10999999999999999,2336,4672,43964
50000,2,1,0.11999999999999998,2828,5656,47968
50000,2,1,0.12999999999999998,3259,6518,52016
50000,2,1,0.13999999999999999,3822,7644,55994
50000,2,1,0.15,4280,8560,59858
50000,2,1,0.16,4965,9930,64121
50000,2,1,0.17,5500,11000,67995
50000,2,1,0.18000000000000002,6019,12038,71824
50000,2,1,0.19000000000000003,6884,13768,76499
50000,2,1,0.20000000000000004,7411,14822,79832
50000,2,1,0.21000000000000005,8434,16868,84350
50000,2,1,0.22000000000000006,8990,17980,87953
50000,2,1,0.23000000000000007,9929,19858,92279
50000,2,1,0.24000000000000007,10413,20826,95893
50000,2,1,0.25000000000000006,11393,22786,100415
50000,2,1,0.26000000000000006,12275,24550,103670
50000,2,1,0.2700000000000001,13163,26326,108328
50000,2,1,0.2800000000000001,13917,27834,111840
50000,2,1,0.2900000000000001,14791,29582,116252
50000,2,1,0.3000000000000001,15720,31440,120083
50000,2,1,0.3100000000000001,16787,33574,124474
50000,2,1,0.3200000000000001,17470,34940,127657
50000,2,1,0.3300000000000001,18603,37206,132347
50000,2,1,0.34000000000000014,19167,38334,135294
50000,2,1,0.35000000000000014,20424,40848,139971
50000,2,1,0.36000000000000015,21125,42250,143593
50000,2,1,0.37000000000000016,22355,44710,148194
50000,2,1,0.38000000000000017,23367,46734,152591
50000,2,1,0.3900000000000002,24122,48244,156041
50000,2,1,0.4000000000000002,24981,49962,159757
50000,2,1,0.4100000000000002,26120,52240,164066
50000,2,1,0.4200000000000002,27017,54034,167779
50000,2,1,0.4300000000000002,27666,55332,171441
50000,2,1,0.4400000000000002,28806,57612,175808
50000,2,1,0.45000000000000023,29725,59450,179569
50000,2,1,0.46000000000000024,30798,61596,183903
50000,2,1,0.47000000000000025,31680,63360,188009
50000,2,1,0.48000000000000026,32347,64694,191926
